---;9;12;0;1460892613
---;0;0;1;1460892613
---;0;0;1;1460892613
---;7;11;0;1460892613
---;0;0;1;1460892613
---;0;0;1;1460892613
---;16;15;0;1460892613
---;0;0;1;1460892613
---;0;0;1;1460892613
---;32;31;0;1460892613
---;0;0;1;1460892613
---;0;0;1;1460892613
---;18;20;0;1460892613
---;0;0;1;1460892613
---;2;2;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;20;41;0;1460892613
---;2;7;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;2;13;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;64;63;0;1460892613
---;2;1;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;3;2;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;128;127;0;1460892613
---;4;3;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;9;8;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;10;33;0;1460892613
---;0;0;1;1460892613
---;0;0;1;1460892613
---;10;40;0;1460892613
---;0;0;1;1460892613
---;0;0;1;1460892613
---;10;20;0;1460892613
---;0;0;1;1460892613
---;0;0;1;1460892613
---;20;79;0;1460892613
---;0;0;1;1460892613
---;0;0;1;1460892613
---;20;180;0;1460892613
---;0;0;1;1460892613
---;0;0;1;1460892613
---;20;40;0;1460892613
---;0;0;1;1460892613
---;0;0;1;1460892613
---;30;132;0;1460892613
---;0;0;1;1460892613
---;0;0;1;1460892613
---;30;300;0;1460892613
---;2;72;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;2;144;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;30;60;0;1460892613
---;2;11;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;2;21;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;40;187;0;1460892613
---;2;20;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;2;50;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;40;400;0;1460892613
---;2;78;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;2;154;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;40;80;0;1460892613
---;2;8;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;2;13;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;50;245;0;1460892613
---;0;0;1;1460892613
---;0;0;1;1460892613
---;50;500;0;1460892613
---;2;123;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;2;236;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;50;100;0;1460892613
---;0;0;1;1460892613
---;0;0;1;1460892613
---;60;305;0;1460892613
---;2;55;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;2;122;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;60;600;0;1460892613
---;5;232;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;5;433;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;60;120;0;1460892613
---;5;26;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;5;49;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;70;367;0;1460892613
---;3;108;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;3;178;1;1460892613
---;0;0;2;1460892613
---;0;0;2;1460892613
---;70;700;0;1460892613
---;3;207;1;1460892614
---;0;0;2;1460892614
---;0;0;2;1460892614
---;3;428;1;1460892614
---;0;0;2;1460892614
---;0;0;2;1460892614
---;70;140;0;1460892614
---;3;24;1;1460892614
---;0;0;2;1460892614
---;0;0;2;1460892614
---;3;44;1;1460892614
---;0;0;2;1460892614
---;0;0;2;1460892614
---;80;430;0;1460892614
---;4;117;1;1460892614
---;0;0;2;1460892614
---;0;0;2;1460892614
---;4;232;1;1460892614
---;0;0;2;1460892614
---;0;0;2;1460892614
---;80;800;0;1460892614
---;3;200;1;1460892614
---;0;0;2;1460892614
---;0;0;2;1460892614
---;3;416;1;1460892614
---;0;0;2;1460892614
---;0;0;2;1460892614
---;80;160;0;1460892614
---;2;11;1;1460892614
---;0;0;2;1460892614
---;0;0;2;1460892614
---;2;17;1;1460892614
---;0;0;2;1460892614
---;0;0;2;1460892614
---;90;494;0;1460892614
---;7;190;1;1460892614
---;0;0;2;1460892614
---;0;0;2;1460892614
---;7;353;1;1460892614
---;0;0;2;1460892614
---;0;0;2;1460892614
---;90;900;0;1460892614
---;6;342;1;1460892614
---;0;0;2;1460892614
---;0;0;2;1460892614
---;6;681;1;1460892615
---;0;0;2;1460892615
---;0;0;2;1460892615
---;90;180;0;1460892615
---;7;32;1;1460892615
---;0;0;2;1460892615
---;0;0;2;1460892615
---;7;77;1;1460892615
---;0;0;2;1460892615
---;0;0;2;1460892615
---;100;560;0;1460892615
---;4;146;1;1460892615
---;0;0;2;1460892615
---;0;0;2;1460892615
---;4;282;1;1460892615
---;0;0;2;1460892615
---;0;0;2;1460892615
---;100;1000;0;1460892615
---;5;319;1;1460892615
---;0;0;2;1460892615
---;0;0;2;1460892615
---;5;654;1;1460892615
---;0;0;2;1460892615
---;0;0;2;1460892615
---;100;200;0;1460892615
---;5;44;1;1460892615
---;0;0;2;1460892615
---;0;0;2;1460892615
---;5;88;1;1460892615
---;0;0;2;1460892615
---;0;0;2;1460892615
---;110;627;0;1460892615
---;5;213;1;1460892615
---;0;0;2;1460892615
---;0;0;2;1460892615
---;5;411;1;1460892615
---;0;0;2;1460892615
---;0;0;2;1460892615
---;110;1100;0;1460892615
---;5;373;1;1460892615
---;0;0;2;1460892615
---;0;0;2;1460892615
---;5;785;1;1460892616
---;0;0;2;1460892616
---;0;0;2;1460892616
---;110;220;0;1460892616
---;6;40;1;1460892616
---;0;0;2;1460892616
---;0;0;2;1460892616
---;6;84;1;1460892616
---;0;0;2;1460892616
---;0;0;2;1460892616
---;120;694;0;1460892616
---;6;223;1;1460892616
---;0;0;2;1460892616
---;0;0;2;1460892616
---;6;437;1;1460892616
---;0;0;2;1460892616
---;0;0;2;1460892616
---;120;1200;0;1460892616
---;10;475;1;1460892616
---;0;0;2;1460892616
---;0;0;2;1460892616
---;10;945;1;1460892618
---;0;0;2;1460892618
---;0;0;2;1460892618
---;120;240;0;1460892618
---;6;57;1;1460892618
---;0;0;2;1460892618
---;0;0;2;1460892618
---;6;102;1;1460892618
---;0;0;2;1460892618
---;0;0;2;1460892618
---;130;762;0;1460892618
---;9;274;1;1460892618
---;0;0;2;1460892618
---;0;0;2;1460892618
---;9;561;1;1460892618
---;0;0;2;1460892618
---;0;0;2;1460892618
---;130;1300;0;1460892618
---;6;437;1;1460892618
---;0;0;2;1460892618
---;0;0;2;1460892618
---;6;906;1;1460892619
---;0;0;2;1460892619
---;0;0;2;1460892619
---;130;260;0;1460892619
---;8;62;1;1460892619
---;0;0;2;1460892619
---;0;0;2;1460892619
---;8;115;1;1460892619
---;0;0;2;1460892619
---;0;0;2;1460892619
---;140;831;0;1460892619
---;9;254;1;1460892619
---;0;0;2;1460892620
---;0;0;2;1460892620
---;9;542;1;1460892620
---;0;0;2;1460892620
---;0;0;2;1460892620
---;140;1400;0;1460892620
---;7;501;1;1460892620
---;0;0;2;1460892620
---;0;0;2;1460892620
---;7;1013;1;1460892621
---;0;0;2;1460892621
