---	9	12	0	1460892612,867755
---	0	0	1	1460892612,86787
---	0	0	1	1460892612,86788
---	7	11	0	1460892612,867999
---	0	0	1	1460892612,868095
---	0	0	1	1460892612,868101
---	16	15	0	1460892612,868275
---	0	0	1	1460892612,868438
---	0	0	1	1460892612,868445
---	32	31	0	1460892612,868816
---	0	0	1	1460892612,869193
---	0	0	1	1460892612,869201
---	18	20	0	1460892612,869423
---	0	0	1	1460892612,869633
---	2	2	1	1460892612,869646
---	0	0	2	1460892612,869667
---	0	0	2	1460892612,869673
---	20	41	0	1460892612,869924
---	2	7	1	1460892612,870378
---	0	0	2	1460892612,870411
---	0	0	2	1460892612,87042
---	2	13	1	1460892612,870569
---	0	0	2	1460892612,870617
---	0	0	2	1460892612,870623
---	64	63	0	1460892612,871282
---	2	1	1	1460892612,871961
---	0	0	2	1460892612,871985
---	0	0	2	1460892612,871992
---	3	2	1	1460892612,872009
---	0	0	2	1460892612,872035
---	0	0	2	1460892612,872041
---	128	127	0	1460892612,873304
---	4	3	1	1460892612,874632
---	0	0	2	1460892612,87467
---	0	0	2	1460892612,874677
---	9	8	1	1460892612,874725
---	0	0	2	1460892612,874799
---	0	0	2	1460892612,875306
---	10	33	0	1460892612,876262
---	0	0	1	1460892612,876604
---	0	0	1	1460892612,876612
---	10	40	0	1460892612,877444
---	0	0	1	1460892612,877826
---	0	0	1	1460892612,877833
---	10	20	0	1460892612,878234
---	0	0	1	1460892612,878422
---	0	0	1	1460892612,878429
---	20	79	0	1460892612,879877
---	0	0	1	1460892612,88071
---	0	0	1	1460892612,880717
---	20	180	0	1460892612,885902
---	0	0	1	1460892612,888665
---	0	0	1	1460892612,888679
---	20	40	0	1460892612,889618
---	0	0	1	1460892612,890056
---	0	0	1	1460892612,890064
---	30	132	0	1460892612,892411
---	0	0	1	1460892612,894073
---	0	0	1	1460892612,894094
---	30	300	0	1460892612,89941
---	2	72	1	1460892612,904348
---	0	0	2	1460892612,904562
---	0	0	2	1460892612,90457
---	2	144	1	1460892612,917951
---	0	0	2	1460892612,918351
---	0	0	2	1460892612,918358
---	30	60	0	1460892612,919594
---	2	11	1	1460892612,920436
---	0	0	2	1460892612,920481
---	0	0	2	1460892612,920488
---	2	21	1	1460892612,92081
---	0	0	2	1460892612,920877
---	0	0	2	1460892612,920886
---	40	187	0	1460892612,924023
---	2	20	1	1460892612,927181
---	0	0	2	1460892612,927257
---	0	0	2	1460892612,927269
---	2	50	1	1460892612,928611
---	0	0	2	1460892612,928761
---	0	0	2	1460892612,928768
---	40	400	0	1460892612,936302
